[33m[nodemon] 2.0.3[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): *.*[39m
[33m[nodemon] watching extensions: js,mjs,json[39m
[32m[nodemon] starting `node index.js`[39m
Tilgjengelige seriellporter:
http://localhost:3000
COM34
Nettleser åpen
555: (12:24) 39
556: (12:24) 39
557: (12:24) 39
558: (12:24) 39
559: (12:24) 39
560: (12:24) 39
561: (12:24) 39
562: (12:24) 39
563: (12:24) 39
564: (12:24) 39
565: (12:24) 39
566: (12:24) 39
567: (12:24) 39
568: (12:24) 39
569: (12:24) 39
570: (12:24) 39
571: (12:24) 40
572: (12:24) 39
573: (12:24) 39
574: (12:24) 39
575: (12:24) 40
576: (12:24) 40
577: (12:24) 40
578: (12:24) 40
579: (12:24) 40
580: (12:24) 39
581: (12:24) 39
582: (12:24) 40
583: (12:24) 39
584: (12:24) 39
585: (12:24) 39
586: (12:24) 39
587: (12:24) 39
588: (12:24) 39
589: (12:24) 39
590: (12:24) 39
591: (12:24) 39
592: (12:24) 39
593: (12:24) 39
594: (12:24) 39
595: (12:24) 39
596: (12:24) 39
597: (12:24) 39
598: (12:24) 39
599: (12:24) 39
600: (12:24) 39
601: (12:24) 39
602: (12:24) 39
603: (12:24) 39
604: (12:24) 39
605: (12:24) 40
606: (12:24) 40
607: (12:24) 39
608: (12:24) 39
609: (12:24) 39
610: (12:24) 39
611: (12:24) 39
612: (12:24) 39
613: (12:24) 39
614: (12:24) 39
615: (12:24) 39
616: (12:24) 39
617: (12:24) 39
618: (12:24) 39
619: (12:24) 39
620: (12:24) 39
621: (12:24) 39
622: (12:24) 39
623: (12:24) 39
624: (12:24) 39
625: (12:24) 39
626: (12:24) 39
627: (12:24) 39
628: (12:24) 39
629: (12:24) 39
630: (12:24) 39
631: (12:24) 39
632: (12:24) 39
633: (12:24) 39
634: (12:24) 39
635: (12:24) 39
636: (12:24) 39
637: (12:24) 39
638: (12:24) 39
639: (12:24) 39
640: (12:24) 39
641: (12:24) 39
642: (12:24) 39
643: (12:24) 39
644: (12:24) 39
645: (12:24) 39
646: (12:24) 39
647: (12:24) 39
648: (12:24) 39
649: (12:24) 39
650: (12:24) 39
651: (12:24) 39
652: (12:24) 39
653: (12:24) 39
654: (12:24) 39
655: (12:24) 39
656: (12:24) 39
657: (12:24) 39
658: (12:24) 39
659: (12:24) 39
660: (12:24) 39
661: (12:24) 39
662: (12:24) 39
663: (12:24) 39
664: (12:24) 39
665: (12:24) 39
666: (12:24) 39
667: (12:24) 39
668: (12:24) 39
669: (12:24) 39
670: (12:24) 39
671: (12:24) 39
672: (12:24) 39
673: (12:24) 39
