Tilgjengelige seriellporter:
http://localhost:3000
COM34
Nettleser åpen
801: (12:24) 39
802: (12:24) 39
803: (12:24) 39
804: (12:24) 39
805: (12:24) 39
806: (12:24) 39
807: (12:24) 39
808: (12:24) 39
809: (12:24) 39
810: (12:24) 39
811: (12:24) 39
812: (12:24) 39
813: (12:24) 39
814: (12:24) 39
815: (12:24) 39
816: (12:24) 39
817: (12:24) 39
818: (12:24) 39
819: (12:24) 39
820: (12:24) 39
821: (12:24) 39
822: (12:24) 39
823: (12:24) 39
824: (12:24) 39
825: (12:24) 39
826: (12:24) 39
827: (12:24) 39
828: (12:24) 39
829: (12:24) 39
830: (12:24) 39
831: (12:24) 40
832: (12:24) 39
833: (12:24) 39
834: (12:24) 39
835: (12:24) 39
836: (12:24) 40
837: (12:24) 39
838: (12:24) 39
839: (12:24) 39
840: (12:24) 40
841: (12:24) 40
842: (12:24) 40
843: (12:24) 39
844: (12:24) 39
845: (12:24) 39
846: (12:24) 39
847: (12:24) 39
848: (12:24) 40
849: (12:24) 40
850: (12:24) 40
851: (12:24) 39
852: (12:24) 40
853: (12:24) 40
854: (12:24) 40
855: (12:24) 40
856: (12:24) 39
857: (12:24) 40
858: (12:24) 40
859: (12:24) 40
860: (12:24) 40
861: (12:24) 39
862: (12:24) 39
863: (12:24) 39
864: (12:24) 39
865: (12:24) 39
866: (12:24) 39
867: (12:24) 39
868: (12:24) 39
869: (12:24) 39
870: (12:24) 39
871: (12:24) 39
872: (12:24) 39
873: (12:24) 39
874: (12:24) 39
875: (12:24) 39
876: (12:24) 39
877: (12:24) 40
878: (12:24) 39
879: (12:24) 39
880: (12:24) 39
881: (12:24) 39
882: (12:24) 39
883: (12:24) 39
884: (12:24) 39
885: (12:24) 39
886: (12:24) 39
887: (12:24) 39
888: (12:24) 39
889: (12:24) 39
890: (12:24) 39
891: (12:24) 39
892: (12:24) 39
893: (12:24) 39
894: (12:24) 39
895: (12:24) 39
896: (12:24) 39
897: (12:24) 39
898: (12:24) 39
899: (12:24) 39
900: (12:24) 39
901: (12:24) 39
902: (12:24) 39
903: (12:24) 39
904: (12:24) 39
905: (12:24) 40
